TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2006","2100","1","SA2","122031430","A",1292
"2006","2100","1","SA2","122031431","A",1566
"2006","2100","1","SA2","122031432","A",271
"2006","2100","1","SA2","123011433","A",729
"2006","2100","1","SA2","123011434","A",785
"2006","2100","1","SA2","123011435","A",1032
"2006","2100","1","SA2","123021436","A",898
"2006","2100","1","SA2","123021437","A",707
"2006","2100","1","SA2","123021438","A",821
"2006","2100","1","SA2","123021439","A",0
"2006","2100","1","SA2","123021440","A",787
"2006","2100","1","SA2","123021441","A",924
"2006","2100","1","SA2","123021442","A",695
"2006","2100","1","SA2","123021443","A",685
"2006","2100","1","SA2","123021444","A",882
"2006","2100","1","SA2","123031445","A",273
"2006","2100","1","SA2","123031446","A",386
"2006","2100","1","SA2","123031447","A",819
"2006","2100","1","SA2","123031448","A",393
"2006","2100","1","SA2","124011449","A",398
"2006","2100","1","SA2","124011450","A",1208
"2006","2100","1","SA2","124011451","A",0
"2006","2100","1","SA2","124011452","A",939
"2006","2100","1","SA2","124011453","A",772
"2006","2100","1","SA2","124011454","A",1570
"2006","2100","1","SA2","124011455","A",485
"2006","2100","1","SA2","124021456","A",0
"2006","2100","1","SA2","124031457","A",933
"2006","2100","1","SA2","124031458","A",822
"2006","2100","1","SA2","124031459","A",1004
"2006","2100","1","SA2","124031460","A",1094
"2006","2100","1","SA2","124031461","A",1211
"2006","2100","1","SA2","124031462","A",756
"2006","2100","1","SA2","124031463","A",265
"2006","2100","1","SA2","124031464","A",692
"2006","2100","1","SA2","124031465","A",251
"2006","2100","1","SA2","124041466","A",700
"2006","2100","1","SA2","124041467","A",713
"2006","2100","1","SA2","124041468","A",218
"2006","2100","1","SA2","124051469","A",260
"2006","2100","1","SA2","124051470","A",828
"2006","2100","1","SA2","124051471","A",1031
"2006","2100","1","SA2","125011472","A",169
"2006","2100","1","SA2","125011473","A",243
"2006","2100","1","SA2","125011474","A",252
"2006","2100","1","SA2","125011475","A",0
