Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Netherlands,14,8,9,19,15,12,9,11,11,5,13,0,3,17,20,22,29,0,18,6,0,10,16,8,11,8,0,0,0,3,0,0,0,11,0,0,0,3,4,10,0,0,0,8,0,22,15,11,3,39,10,15,0,14,13,10,21,31,6,3,25,9,8,12,15,0,25,0,8,15,12,11,13,8,13,8,10,32,18,5,18,54,5,24,0,4,3,15,0,24,7,12,12,7,18,5,11,16,9,10,13,11,13,10,6,10,0,10,11,3,0,0
Switzerland,5,3,4,0,4,4,3,0,4,0,4,0,5,0,0,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,7,3,4,0,0,3,9,3,3,5,0,0,11,8,0,7,0,11,3,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,3,3,0,0,0,0,3,0,0,0,5,4,3,8,0,9,4,0,8,0,0,0,0,3,0,0
Denmark,0,0,0,0,4,0,0,3,0,7,0,0,0,0,0,3,0,0,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,4,0,0,0,5,0,4,0,0,0,0,0,0,3,3,3,3,0,0,0,3,3,4,0,0,3,0,0,0,0,0,0,0,0,0
Faroe Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,3,9,5,19,8,18,8,8,15,3,6,0,4,20,19,20,7,0,11,8,8,3,6,4,3,3,0,0,0,3,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,11,10,21,0,12,3,4,0,3,13,0,7,10,0,8,8,4,0,0,5,0,3,0,3,3,3,0,10,6,5,11,3,8,4,0,4,19,4,11,0,3,0,0,0,10,0,8,7,0,10,0,3,11,0,12,3,6,3,3,10,4,0,3,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,7,0,0,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,3,0,0,0,0,3,0,3
Sweden,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,8,7,4,0,0,0,5,8,0,3,3,3,3,3,3,0,4,0,6,5,0,4,3,0,3,0,0,4,0,0,0,5,0,0,0,0,4,0,0,5,3,0,0,3,0,0,0,6,0,3,3,0,0,0,0,6,0,4,0,3,0,0
Aland Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,19,9,30,14,17,17,30,41,30,4,33,0,19,10,18,80,32,0,17,19,45,20,27,11,16,41,0,0,0,0,0,0,0,24,0,3,5,4,0,30,0,0,0,14,0,25,46,26,5,37,9,18,10,11,37,20,38,19,4,19,34,26,16,40,8,0,60,0,40,22,14,11,13,17,12,15,17,23,28,8,12,76,0,21,0,8,12,0,0,62,38,18,24,14,5,38,19,21,16,38,28,22,14,26,29,14,30,22,7,24,0,0
Malta,6,3,0,3,0,4,3,0,0,0,0,0,5,0,9,0,0,0,4,4,3,0,8,3,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,6,0,0,4,0,5,3,0,0,5,0,0,3,3,0,14,0,8,0,6,0,3,4,3,3,3,15,4,0,8,10,3,15,0,0,4,6,0,9,3,3,3,18,3,3,0,0,0,0,5,3,3,5,0,10,0,7,0,5,0,0
Portugal,0,3,3,0,0,6,7,4,0,0,0,0,0,6,4,9,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,7,0,5,10,8,0,0,3,0,3,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,5,3,0,4,6,7,3,14,0,0,0,4,0,6,0,0,3,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,4,5,3,0,0,0
Spain,0,3,3,0,9,3,6,3,0,0,3,0,3,7,11,6,9,0,3,3,0,0,0,7,0,3,0,0,0,0,0,0,0,10,3,0,0,3,0,0,0,0,0,3,0,9,9,3,0,4,0,3,3,3,5,3,6,5,4,0,11,4,3,7,10,0,15,0,0,0,19,7,27,4,8,12,0,15,9,3,9,39,3,20,0,10,9,4,0,31,4,13,5,3,3,10,5,10,7,4,8,0,0,3,15,4,8,4,0,3,0,0
