Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Syria,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,5,0,0,0
Turkey,5,15,7,0,3,0,3,0,3,0,5,0,0,0,0,0,3,0,3,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,5,4,0,3,6,0,0,0,3,3,0,0,7,0,4,0,0,3,3,11,0,12,0,4,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,4,4,3,0,0,10,0,3,4,4,7,0,0,0
United Arab Emirates,0,3,3,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,8,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,3,10,9,5,0,10,3,6,0,0,0,0,0,4,4,10,3,0,3,0,3,7,7,4,0,0,0,0,0,0,0,0,0,7,0,3,0,3,14,11,0,0,0,11,0,26,8,19,5,12,14,4,3,0,13,7,5,9,21,24,16,0,0,3,4,0,3,0,10,3,3,0,3,7,6,0,0,3,0,4,0,5,3,0,0,0,0,0,0,17,0,0,4,0,3,0,7,0,0,3,3,3,0,6,5,11,0,5,0,3,0,0
Cambodia,0,6,5,7,0,17,11,18,0,0,0,0,3,3,0,5,0,0,8,0,3,6,4,4,4,0,0,0,0,0,0,0,0,4,3,0,0,0,7,5,0,0,0,4,0,7,14,12,5,3,5,3,0,3,25,0,6,8,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,4,7,0,7,4,0,0,0,5,0,4,0,5,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0
Laos,0,5,8,4,3,12,4,9,4,0,4,0,0,0,0,12,4,0,3,4,9,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,21,0,0,0,6,0,19,16,20,3,3,13,3,0,3,0,0,7,0,4,0,6,0,0,5,0,0,12,0,4,0,46,38,34,15,34,0,10,39,10,4,24,16,0,17,0,13,12,24,0,9,0,0,0,0,0,3,0,4,0,0,0,4,3,9,0,4,0,3,0,0,0,0
Thailand,3,6,29,16,13,19,4,9,14,3,4,0,5,10,3,16,10,0,3,7,12,3,10,7,3,4,0,0,0,3,0,0,0,14,0,5,4,14,16,35,0,0,0,19,0,18,7,23,23,13,16,18,14,8,9,3,20,12,9,21,21,3,0,4,20,0,6,0,16,5,15,9,13,21,22,3,4,28,9,11,15,25,0,11,0,0,8,4,0,29,10,3,21,10,15,8,6,4,6,9,24,8,14,11,4,17,0,13,4,0,0,0
Vietnam,8,69,85,19,13,83,52,155,10,0,23,0,28,35,26,115,21,0,26,43,48,10,23,20,12,7,0,0,0,0,5,0,0,44,18,8,6,16,102,129,0,0,0,65,0,111,91,132,18,52,137,11,12,20,30,8,61,31,12,38,31,11,9,18,11,0,26,0,15,6,28,62,29,28,26,8,10,51,12,3,68,53,9,66,0,14,24,19,0,23,10,0,6,7,6,8,3,11,14,15,13,12,11,22,19,8,20,0,8,3,0,0
Brunei,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
