TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2001","2100","1","SA2","120031396","A",106
"2001","2100","1","SA2","120031397","A",458
"2001","2100","1","SA2","121011398","A",838
"2001","2100","1","SA2","121011399","A",895
"2001","2100","1","SA2","121011400","A",1475
"2001","2100","1","SA2","121011401","A",404
"2001","2100","1","SA2","121011402","A",1248
"2001","2100","1","SA2","121021403","A",1252
"2001","2100","1","SA2","121021404","A",945
"2001","2100","1","SA2","121021405","A",1375
"2001","2100","1","SA2","121021406","A",990
"2001","2100","1","SA2","121031407","A",939
"2001","2100","1","SA2","121031408","A",1191
"2001","2100","1","SA2","121031409","A",944
"2001","2100","1","SA2","121031410","A",1242
"2001","2100","1","SA2","121031411","A",1251
"2001","2100","1","SA2","121031412","A",1222
"2001","2100","1","SA2","121041413","A",1456
"2001","2100","1","SA2","121041414","A",1135
"2001","2100","1","SA2","121041415","A",2378
"2001","2100","1","SA2","121041416","A",1506
"2001","2100","1","SA2","121041417","A",680
"2001","2100","1","SA2","122011418","A",1592
"2001","2100","1","SA2","122011419","A",2148
"2001","2100","1","SA2","122021420","A",1149
"2001","2100","1","SA2","122021421","A",963
"2001","2100","1","SA2","122021422","A",1145
"2001","2100","1","SA2","122021423","A",1504
"2001","2100","1","SA2","122031424","A",746
"2001","2100","1","SA2","122031425","A",534
"2001","2100","1","SA2","122031426","A",1230
"2001","2100","1","SA2","122031427","A",795
"2001","2100","1","SA2","122031428","A",1765
"2001","2100","1","SA2","122031429","A",1505
"2001","2100","1","SA2","122031430","A",1267
"2001","2100","1","SA2","122031431","A",1476
"2001","2100","1","SA2","122031432","A",296
"2001","2100","1","SA2","123011433","A",782
"2001","2100","1","SA2","123011434","A",634
"2001","2100","1","SA2","123011435","A",1059
"2001","2100","1","SA2","123021436","A",1122
"2001","2100","1","SA2","123021437","A",749
"2001","2100","1","SA2","123021438","A",1036
"2001","2100","1","SA2","123021439","A",0
"2001","2100","1","SA2","123021440","A",990
"2001","2100","1","SA2","123021441","A",1087
"2001","2100","1","SA2","123021442","A",925
"2001","2100","1","SA2","123021443","A",846
"2001","2100","1","SA2","123021444","A",1076
"2001","2100","1","SA2","123031445","A",307
"2001","2100","1","SA2","123031446","A",456
"2001","2100","1","SA2","123031447","A",890
"2001","2100","1","SA2","123031448","A",390
